"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1986241933925290006","Thu Nov 06 06:48:47 +0000 2025","0","@IndiHome Cek DM min kenapa ada kenaikan tagihan bulan ini?.","1986324868707885544","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1986324868707885544","459197333",
"1986241933925290006","Thu Nov 06 02:52:38 +0000 2025","0","@IndiHome Hi min bisa bales dm? Thanks","1986265441074094298","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1986265441074094298","1073526778533011456",
"1986241933925290006","Thu Nov 06 11:13:54 +0000 2025","0","@IndiHome Halo. Saya dalam setahun ini pembayaran 249.000- ini bulan ini tagihan saya kok jadi 278.000- yaa?","1986391586578772410","","IndiHome","in","","0","0","0","https://x.com/undefined/status/1986391586578772410","1578576358514429952",
"1986241933925290006","Thu Nov 06 06:29:29 +0000 2025","0","@IndiHome Halo Indihome saya mau lapor gangguan internet. Kabel fiber optik di rumah saya putus karena pohon tumbang di luar rumah. Mohon dibantu perbaikan secepatnya ya. Saya sudah DM semua medsos indihome belum ada respon tolong kerja samanya https://t.co/9mrA5a41cP","1986320013821882778","https://pbs.twimg.com/media/G5DThSIbIAQZBcX.jpg","IndiHome","in","","0","0","0","https://x.com/undefined/status/1986320013821882778","1732092404847824896",
"1986241933925290006","Thu Nov 06 04:43:09 +0000 2025","0","@IndiHome https://t.co/PFes79k4QE","1986293252820205842","https://pbs.twimg.com/media/G5C7L8YbIAILMs7.jpg","IndiHome","qme","","0","1","0","https://x.com/undefined/status/1986293252820205842","1621035823545335810",
"1986241933925290006","Thu Nov 06 02:15:24 +0000 2025","0","@IndiHome Ditempat saya desa mekar rahayu kec. Marga Asih sinyal nya sekitar 100 mbps tapi sering drop sampai hilang selama 3 menit trus muncul lagi hilang lagi Sy sdh ke bagian gangguan akhirnya modul di ganti baru tapi tetap turun naik. Akhirnya saya harus ganti operator Internet","1986256071422582816","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1986256071422582816","4619386819",
"1986241933925290006","Thu Nov 06 07:26:19 +0000 2025","0","@IndiHome Bls dm","1986334312678236649","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1986334312678236649","1753186581526315008",
"1986241933925290006","Thu Nov 06 10:15:25 +0000 2025","0","@IndiHome tolong cek dm saya min @IndiHome","1986376870926164270","","IndiHome","in","","0","0","0","https://x.com/undefined/status/1986376870926164270","1262628246388006912",
"1986241933925290006","Thu Nov 06 11:19:04 +0000 2025","0","@IndiHome Tolong cek dm","1986392886255231264","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1986392886255231264","1578576358514429952",
"1986241933925290006","Fri Nov 07 07:25:28 +0000 2025","0","@imamsyafei308 Tiar cek di DM sudah ada balasan ya Kak terkait keluhannya. Semoga IndiHome-nya aman dan lancar terus ya -Tiar","1986696489687781643","","imamsyafei308","in","","0","0","0","https://x.com/undefined/status/1986696489687781643","1075673058931806208",
"1986241933925290006","Thu Nov 06 05:12:51 +0000 2025","0","@purethaitea_ @IndiHome @purethaitea_ Otw nih Kakak Ben sabar yaa. Ditunggu balasan selanjutnya -Qiya","1986300728219213910","","purethaitea_","in","","0","0","0","https://x.com/undefined/status/1986300728219213910","255409050",
"1986241933925290006","Thu Nov 06 05:04:25 +0000 2025","0","@IndiHome wifi saya muncul indikator loss merah udah di coba reset berkali2 tetap sama . bikin laporan juga udah dari pagi jam 7 tapi responnya jelek. gimana sih kalian ini","1986298603451916765","","IndiHome","in","","0","2","0","https://x.com/undefined/status/1986298603451916765","1066263294464282624",
"1986241933925290006","Thu Nov 06 07:01:07 +0000 2025","0","@IndiHome Cek DM Ya","1986327973793046563","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1986327973793046563","863439361815085058",
"1986241933925290006","Thu Nov 06 08:21:16 +0000 2025","0","@IndiHome dm kak check","1986348141160112137","","IndiHome","ht","","0","2","0","https://x.com/undefined/status/1986348141160112137","1156336835490021376",
