"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1981711109284655560","Sat Oct 25 03:39:23 +0000 2025","0","@IndiHome Min cdm @IndiHome","1981928548505174526","","IndiHome","it","","0","1","0","https://x.com/undefined/status/1981928548505174526","1533983928905654272",
"1981711109284655560","Fri Oct 24 16:38:57 +0000 2025","0","@IndiHome mana?","1981762348491976931","","IndiHome","es","","0","1","0","https://x.com/undefined/status/1981762348491976931","1361007861451530241",
"1981711109284655560","Fri Oct 24 13:21:28 +0000 2025","0","@IndiHome Buffering nih giliran tagihan aja gercep","1981712648405385416","","IndiHome","in","","0","0","0","https://x.com/undefined/status/1981712648405385416","917945827342958594",
"1981711109284655560","Sat Oct 25 03:35:24 +0000 2025","0","@IndiHome min cek dm ya","1981927549258399829","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1981927549258399829","1834763864900354048",
"1981711109284655560","Sat Oct 25 04:10:03 +0000 2025","0","@jaellyhyne Sip meluncur ke DM Kak @jaellyhyne mohon ditunggu ya -Wendy","1981936268830490671","","jaellyhyne","in","","0","0","0","https://x.com/undefined/status/1981936268830490671","1075673058931806208",
"1981711109284655560","Sat Oct 25 06:54:24 +0000 2025","0","@bersamaluppypy Done udah dibales ya Kak @bersamaluppypy DM nya -Nala","1981977626979029001","","bersamaluppypy","in","","0","0","0","https://x.com/undefined/status/1981977626979029001","1075673058931806208",
"1981711109284655560","Sat Oct 25 00:31:59 +0000 2025","0","@newzoel Sip Kak Rama udah aman ya. DMnya udah di respon kembali :) -Wendy","1981881389999157461","","newzoel","in","","0","0","0","https://x.com/undefined/status/1981881389999157461","1075673058931806208",
"1981711109284655560","Sat Oct 25 02:52:49 +0000 2025","0","@Devarate_ @Devarate_ Sip Kak Depaaa tungguin di DM ya -Wendy","1981916830848667741","","Devarate_","in","","0","0","0","https://x.com/undefined/status/1981916830848667741","1075673058931806208",
"1981711109284655560","Fri Oct 24 16:35:36 +0000 2025","0","@terrdalam @terrdalam Ehh siaap Kak. Langsung Otw ke DM ️ -Neira","1981761501968146851","","terrdalam","in","","0","1","0","https://x.com/undefined/status/1981761501968146851","1075673058931806208",
"1981711109284655560","Fri Oct 24 16:40:15 +0000 2025","0","@terrdalam @terrdalam Tunggu dulu ya Kak. Segera meluncur buat cek DM Kakak. Ditunggu ya- Fadil","1981762673240158327","","terrdalam","in","","0","0","0","https://x.com/undefined/status/1981762673240158327","1075673058931806208",
"1981711109284655560","Sat Oct 25 00:33:08 +0000 2025","0","@andreanklgs Kak Andrean maafin kalau ada kendala sama koneksi jaringannya lanjut di DM lagi yuk. Biar dibantu cek lebih lanjut. Wendy tunggu di DM ya -Wendy","1981881678776967504","","andreanklgs","in","","0","0","0","https://x.com/undefined/status/1981881678776967504","1075673058931806208",
"1981711109284655560","Sat Oct 25 04:55:53 +0000 2025","0","@IndiHome Cdm min thx","1981947800155005195","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1981947800155005195","300573345",
"1981711109284655560","Sat Oct 25 05:19:15 +0000 2025","0","@crushinmelodies Sip Kak @crushinmelodies mohon ditunggu ya -Wendy","1981953684654510513","","crushinmelodies","in","","0","0","0","https://x.com/undefined/status/1981953684654510513","1075673058931806208",
"1981711109284655560","Sat Oct 25 00:28:32 +0000 2025","0","@ocaappucinno Hai Kak @ocaappucinno DMnya sudah dibantu cek dan solusikan sama temen Wendy ya. Jika ada yang ingin ditanyakan boleh konfirmasi kembali di DM :) -Wendy","1981880520834506879","","ocaappucinno","in","","0","0","0","https://x.com/undefined/status/1981880520834506879","1075673058931806208",
