conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,reply_to_tweet_id
1981152841713799332,Thu Oct 23 19:32:44 +0000 2025,0,@dedy_maryadi @dedy_maryadi Hai Kak Dedy. Ada yang bisa Gea bantu? Jika ada pertanyaan atau keluhan seputar produk dan layanan Telkomsel. Yuk infoin secara detail via DM biar Gea bisa bantu lebih lanjut ya. Makasih -Gea,1981443692318904452,,dedy_maryadi,in,,0,0,0,https://x.com/undefined/status/1981443692318904452,1075673058931806208,,1981152841713799332
1981152841713799332,Thu Oct 23 08:02:17 +0000 2025,1,@IndiHome Kenapa tiap tanggal 20 keatas padahal dah bayar bulanan kecepatan internet tiba2 anjlog terus sampe ngedownload paling cepet cuman 300 kbps? Paling parah dibawah 100 kbps malah,1981269934438306277,,IndiHome,in,,0,1,0,https://x.com/undefined/status/1981269934438306277,1007618790811504640,,1981152841713799332
1981152841713799332,Thu Oct 23 14:01:14 +0000 2025,0,@IndiHome internet sat set stabil @mathwithvan,1981360268241170658,,IndiHome,da,,0,2,0,https://x.com/undefined/status/1981360268241170658,1145123964940718080,,1981152841713799332
1981152841713799332,Thu Oct 23 17:10:22 +0000 2025,0,@nakamatika @IndiHome admin nakama setelah beberapa jam : https://t.co/6IAdAQUoiW,1981407863148056723,https://pbs.twimg.com/tweet_video_thumb/G39f8uoXAAAxxxI.jpg,nakamatika,in,,0,0,0,https://x.com/undefined/status/1981407863148056723,1756318469216452608,,1981152841713799332
1981152841713799332,Thu Oct 23 07:14:37 +0000 2025,0,@IndiHome Njirr pede banget min,1981257941874528327,,IndiHome,in,,0,1,0,https://x.com/undefined/status/1981257941874528327,297950105,,1981152841713799332
1981152841713799332,Thu Oct 23 10:39:06 +0000 2025,0,@IndiHome prettt,1981309399177253367,,IndiHome,en,,0,1,0,https://x.com/undefined/status/1981309399177253367,1127593809183797248,,1981152841713799332
1981152841713799332,Fri Oct 24 07:04:04 +0000 2025,0,@SteveNeedJobs Apa nih Kak Faikar? Jangan sungkan untuk hubungi Vioni kembali kalau ada apa-apa️ -Vioni,1981617673403535858,,SteveNeedJobs,in,,0,1,0,https://x.com/undefined/status/1981617673403535858,1075673058931806208,,1981152841713799332
1981152841713799332,Thu Oct 23 03:30:27 +0000 2025,0,@IndiHome Bohong y,1981201525533004058,,IndiHome,in,,0,1,0,https://x.com/undefined/status/1981201525533004058,748854339154784256,,1981152841713799332
1981152841713799332,Thu Oct 23 12:01:50 +0000 2025,0,@IndiHome aku aminin deh min wkwkwk setelah 2 bulan ini pengaduan mulu semoga setelah ini gag ada drama beneran ya,1981330218750267715,,IndiHome,in,,0,1,0,https://x.com/undefined/status/1981330218750267715,169783788,,1981152841713799332
1981152841713799332,Thu Oct 23 10:32:45 +0000 2025,1,@IndiHome boong ajg,1981307800480600100,,IndiHome,in,,0,1,0,https://x.com/undefined/status/1981307800480600100,840997561053925378,,1981152841713799332
